Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,134.25,-80.35,90.0,top
C2,100nF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,151.2,-69.2,0.0,top
C3,1uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,137.7,-80.35,90.0,top
D1,LED_RED,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,143.2,-77.2,0.0,top
D2,TX,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,145.2,-88.8,0.0,top
D3,RX,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,143.6,-91.2,0.0,top
P1,USB_C_Plug,USB_C_Receptacle_XKB_U262-16XN-4BVC11,143.5,-64.5,180.0,top
Q3,UMH3N,SOT-363_SC-70-6,149.6,-83.75,-90.0,top
R3,1K,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,143.2,-74.9,0.0,top
R4,1K,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,145.8,-84.85,-90.0,top
R5,1K,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,143.3,-84.85,-90.0,top
R6,1K,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,153.2,-89.65,-90.0,top
R7,1K,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,151.0,-89.65,90.0,top
R8,5K,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,143.2,-72.6,180.0,top
R9,5K,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,143.2,-70.3,180.0,top
SW1,~,MS-22D28-G020,136.5,-70.65,0.0,top
U1,AZ1117H-3.3TRE1,SOT-223,136.65,-87.5,-90.0,top
U3,CH340C,SOIC-16_3.9x9.9mm_P1.27mm,149.875,-75.695,180.0,top
